,Müll,-2,rubbish,-2.1,Everything from here until liwc is added by George Paltoglou,N_lemma
0,Muell,-2.0,rubbish,-2,N,N_lemma
1,Unsinn*,-2.0,rubbish,-2,N,
2,unsinnig*,-2.0,,,,
3,blödsinnig,-2.0,rubbish,-2,,A_lemma
4,Blödsinn*,-3.0,rubbish,-2,,
5,Bloedsinn*,-3.0,rubbish,-2,,
6,entsetzlich*,-3.0,horrific,-3,,
7,fliehen,-2.0,flee,-2,, V_lemma
8,geflohen*,-2.0,flee,-2,,
9,Zombie*,-3.0,zombie,-3,,
10,Islamfeindlich*,-3.0,islamaphobia,-3,,
11,aufgeben*,-2.0,abandon*,-2,,
12,aufgegeben,-2.0,abandon*,-2,liwc uness specified otherwise,
13,Mißbrauch,-2.0,abuse*,,,
14,mißbrauchen,-2.0,abuse*,,, V_lemma
15,mißbräuchlich,-2.0,,,,
16,beschimpf*,-2.0,abuse*,,,
17,Missbrauch*,-4.0,abuse*,-4,,
18,akzeptier*,1.0,accept,1,,
19,akzepta*,2.0,accepta*,2,,
20,schmerz*,-2.0,ache*,-2,,
21,aktiv*,2.0,active*,2,,
22,bewund*,3.0,admir*,3,,
23,Vorteil*,2.0,advantag,2,,
24,vorteilhaft*,2.0,advantag,,,
25,vorteil*,2.0,advantag,2,,
26,abenteuer*,1.0,adventur*,1,,
27,abenteuerlich*,-1.0,adventur*,1,??? negativ,
28,zuwiderhand*,-3.0,advers*,-2,,
29,zuwider,-2.0,advers*,-2,,
30,gegensätzlich*,-2.0,advers*,-2,,
31,gegensaetzlich*,-2.0,advers*,-2,,
32,gegensätzlich*,-2.0,advers*,-2,,
33,gegensaetzlich*,-2.0,advers*,-2,,
34,Zuneigung*,3.0,affection*,3,,
35,Angst,-4.0,afraid,-4,,
36,fürchten,-4.0,afraid,-4,, V_lemma
37,fuerchterlich*,-4.0,xxxafraid,-4,,
38,furcht*,-4.0,afraid,-4,,
39,aggress*,-3.0,aggress*,-3,,
40,aufreg*,-2.0,agitat*,-2,,
41,aufgereg*,-2.0,agitat*,-2,,
42,quäl*,-4.0,agoniz*,-4,,
43,quael*,-4.0,agoniz*,-4,,
44,marter*,-4.0,agoniz*,-4,,
45,zermarter*,-4.0,agoniz*,-4,,
46,Agonie,-4.0,agony,-4,,
47,zustimm*,2.0,agree,2,,
48,Alarm*,-3.0,alarm*,-3,,
49,beunruh*,-3.0,,,,
50,ALOL,2.0,alol,2,actually laughing out loud,
51,allein*,-1.0,alone,-1,,
52,in_Ordnung,2.0,alright*,2,,
53,erstaunl*,3.0,amaz*,3,,
54,amor*,2.0,amor*,2,,
55,Liebes*,2.0,amor*,2,,
56,amus*,2.0,amus*,2,,
57,amüs*,2.0,amus*,2,,
58,amues*,2.0,amus*,2,,
59,Ärger*,-4.0,anger*,-4,,
60,Aerger*,-4.0,anger*,-4,,
61,ärger*,-4.0,anger*,-4,,
62,aerger*,-4.0,anger*,-4,,
63,Zorn*,-4.0,anger*,-4,,
64,antagoni*,-2.0,antagoni*,-2,,
65,AOK,2.0,aok,2,,
66,apath*,-2.0,apath*,-2,,
67,erschreck*,-4.0,appall*,-4,,
68,erschrock*,-4.0,appall*,-4,,
69,argh*,-2.0,argh*,-2,,
70,streit*,-2.0,argu*,-2,,
71,Arroganz*,-3.0,arrogan*,-3,,
72,arrogant*,-3.0,arrogan*,-3,,
73,beschäm*,-4.0,asham*,-4,,
74,beschaem*,-4.0,asham*,-4,,
75,Scham,-4.0,asham*,-4,,
76,schäm*,-4.0,asham*,-4,,
77,schaem*,-4.0,asham*,-4,,
78,Angriff*,-3.0,assault*,-3,,
79,Arschloch,-3.0,asshole*,-3,,N_lemma
80,Arschlöch*,-3.0,asshole*,-3,,
81,Arschloech*,-3.0,asshole*,-3,,
82,versicher*,2.0,assur*,2,,
83,anziehen,2.0,attract*,2,,V_lemma
84,aversi*,-3.0,aversi*,-3,,
85,vermeiden,-1.0,avoid*,-1,,V_lemma
86,Auszeichnu*,1.0,award*,1,,
87,ausgezeichn*,3.0,award*,1,,
88,schrecklich*,-4.0,awful,-4,,
89,ungeschickt*,-2.0,awkward*,-2,,
90,schlecht*,-2.0,bad,-2,,
91,schlechtest*,-3.0,bad,-2,,
92,verschämt*,-3.0,bashful*,-3,,
93,verschaemt*,-3.0,bashful*,-3,,
94,Bastard*,-3.0,bastard*,-3,,
95,Schlacht*,-2.0,battl*,-2,,
96,geschlagen,-1.0,beaten,-1,,
97,schön*,3.0,beaut*,3,,
98,schoen*,3.0,beaut*,3,,
99,Geliebte,3.0,beloved,3,,
100,Vorteil*,2.0,benefit,2,,
101,profitier*,2.0,benefit,2,,
102,gutmütig*,2.0,benevolen*,2,,
103,gutmuetig*,2.0,benevolen*,2,,
104,gutartig*,2.0,benign*,2,,
105,beste*,2.0,best,2,LEMMA: gut,
106,besser,2.0,better,2,,
107,BFF,4.0,bff,4,best friends forever,
108,BG,2.0,bg,2,big grin,
109,Hure*,-3.0,bitch*,-3,,
110,bitter*,-2.0,bitter*,-2,,
111,blam*,-2.0,blam*,-2,,
112,segnen*,2.0,bless*,2,,
113,gesegne*,2.0,bless*,2,,
114,mutig*,2.0,bold*,2,,
115,courag*,2.0,bold*,2,,
116,Bonus*,1.0,bonus*,1,,
117,langweil*,-3.0,boring,-3,,
118,Mühe*,-1.0,bother*,-1,,
119,Muehe*,-1.0,bother*,-1,,
120,tapfer*,3.0,brave*,3,,
121,klugschei*,-2.0,bright*,2,,
122,klug*,2.0,bright*,2,,
123,brillian*,2.0,brillian*,2,,
124,pleite,-1.0,broke,-1,,
